feor,occupation_description,hs6,machine_description
8192,Metal working machine operators,846291,Hydraulic presses for working metal
8192,Metal working machine operators,846299,"Metal shaping presses, nes"
8192,Metal working machine operators,846310,"Draw-benches for bars, tubes, profiles wire etc"
8192,Metal working machine operators,846320,"Thread rolling machines for working metal, etc"
8192,Metal working machine operators,846330,Machines for working metal wire
8192,Metal working machine operators,846390,"Machine-tools (metal, carbides) not metal removal, nes"
8192,Metal working machine operators,846711,"Tools for working in the hand, pneumatic rotary type"
8192,Metal working machine operators,854330,"Apparatus for electro-plating, electrolysis, etc"
8199,"Processing machine operators, production line workers not elsewhere classified",847940,Rope or cable-making machines
8199,"Processing machine operators, production line workers not elsewhere classified",851511,Electric soldering irons and guns
8199,"Processing machine operators, production line workers not elsewhere classified",851521,"Electric resistance welding equipment, automatic"
8211,Solid minerals extraction machine operators,843031,"Coal or rock cutters, self-propelled"
8211,Solid minerals extraction machine operators,843039,"Coal or rock cutters, not self-propelled"
8211,Solid minerals extraction machine operators,846420,"Grinding/polishing machines for stone, ceramics, glass"
8211,Solid minerals extraction machine operators,847410,"Machines to sort, screen, wash stone, ores & minerals"
8211,Solid minerals extraction machine operators,847420,"Machines to crush or grind stone, ores and minerals"
8219,Mining-plant operators not elsewhere classified,842831,"Mine conveyors/elevators, continuous action"
8219,Mining-plant operators not elsewhere classified,843031,"Coal or rock cutters, self-propelled"
8219,Mining-plant operators not elsewhere classified,843039,"Coal or rock cutters, not self-propelled"
8221,Power-production and transformation plant mechanics and operators,850131,"DC motors, DC generators, of an output < 750 watts"
8221,Power-production and transformation plant mechanics and operators,850161,"AC generators, of an output < 75 kVA"
8221,Power-production and transformation plant mechanics and operators,850162,"AC generators, of an output 75-375 kVA"
8221,Power-production and transformation plant mechanics and operators,850163,"AC generators, of an output 375-750 kVA"
8221,Power-production and transformation plant mechanics and operators,850240,Electric rotary converters
8221,Power-production and transformation plant mechanics and operators,850421,Liquid dielectric transformers < 650 KVA
8221,Power-production and transformation plant mechanics and operators,850422,"Liquid dielectric transformers 650-10,000KVA"
8221,Power-production and transformation plant mechanics and operators,850423,"Liquid dielectric transformers > 10,000 KVA"
8221,Power-production and transformation plant mechanics and operators,850431,"Transformers electric, power capacity < 1 KVA, nes"
8221,Power-production and transformation plant mechanics and operators,850432,"Transformers electric, power capacity 1-16 KVA, nes"
8221,Power-production and transformation plant mechanics and operators,850433,"Transformers electric, power capacity 16-500 KVA"
8221,Power-production and transformation plant mechanics and operators,850434,"Transformers electric, power capacity > 500 KVA, nes"
8221,Power-production and transformation plant mechanics and operators,850440,"Static converters, nes"
8221,Power-production and transformation plant mechanics and operators,850450,"Inductors, electric"
8221,Power-production and transformation plant mechanics and operators,853010,"Electric signal, safety & traffic controls, railway"
8221,Power-production and transformation plant mechanics and operators,853080,"Electric signal, safety & traffic controls, nes"
8221,Power-production and transformation plant mechanics and operators,853120,Indicator panels incorporating electronic displays
8221,Power-production and transformation plant mechanics and operators,902830,"Electricity supply, production and calibrating meters"
8221,Power-production and transformation plant mechanics and operators,903031,Electrical multimeters
8221,Power-production and transformation plant mechanics and operators,903082,Instr f/msrng semiconduc
8221,Power-production and transformation plant mechanics and operators,903083,"Instr f/radiat mes,recor"
8221,Power-production and transformation plant mechanics and operators,903089,Electrical measurement instruments nes
8221,Power-production and transformation plant mechanics and operators,903141,Optical instr f/insp sem
8222,Coal- or oil-fired power-generating plant operators,840681,"Turbines nes, of o <40mw"
8222,Coal- or oil-fired power-generating plant operators,840682,"Turbines nes, of o >40mw"
8222,Coal- or oil-fired power-generating plant operators,841231,"Pneumatic power engines/motors, linear acting"
8222,Coal- or oil-fired power-generating plant operators,841239,"Pneumatic power engines/motors, except linear acting"
8222,Coal- or oil-fired power-generating plant operators,841280,Engines and motors nes
